Friend,Start date,End date,Start time,End time,Duration
114,10/13/17,10/14/17,0:00,0:00,24:00:00
115,10/13/17,10/14/17,0:00,0:00,24:00:00
116,10/13/17,10/14/17,0:00,0:00,24:00:00
117,10/13/17,10/14/17,0:00,0:00,24:00:00
118,10/14/17,10/15/17,0:00,0:00,24:00:00
119,10/15/17,10/16/17,0:00,0:00,24:00:00
120,10/15/17,10/16/17,0:00,0:00,24:00:00
121,10/15/17,10/16/17,0:00,0:00,24:00:00
122,10/16/17,10/17/17,0:00,0:00,24:00:00
123,10/16/17,10/17/17,0:00,0:00,24:00:00
124,10/17/17,10/18/17,0:00,0:00,24:00:00
125,10/21/17,10/22/17,0:00,0:00,24:00:00
126,10/22/17,10/23/17,0:00,0:00,24:00:00
127,10/22/17,10/23/17,0:00,0:00,24:00:00
128,10/22/17,10/23/17,0:00,0:00,24:00:00
129,10/22/17,10/23/17,0:00,0:00,24:00:00
130,10/23/17,10/24/17,0:00,0:00,24:00:00
131,10/23/17,10/24/17,0:00,0:00,24:00:00
132,10/23/17,10/24/17,0:00,0:00,24:00:00
133,10/23/17,10/24/17,0:00,0:00,24:00:00
134,10/23/17,10/24/17,0:00,0:00,24:00:00
135,10/23/17,10/24/17,0:00,0:00,24:00:00
136,10/24/17,10/25/17,0:00,0:00,24:00:00
137,10/24/17,10/25/17,0:00,0:00,24:00:00
138,10/24/17,10/25/17,0:00,0:00,24:00:00
139,10/26/17,10/27/17,0:00,0:00,24:00:00
140,10/29/17,10/30/17,0:00,0:00,24:00:00
141,10/29/17,10/30/17,0:00,0:00,24:00:00
142,10/29/17,10/30/17,0:00,0:00,24:00:00
143,10/30/17,10/31/17,0:00,0:00,24:00:00
144,10/30/17,10/31/17,0:00,0:00,24:00:00
145,10/31/17,11/1/17,0:00,0:00,24:00:00
146,11/1/17,11/2/17,0:00,0:00,24:00:00
147,11/1/17,11/2/17,0:00,0:00,24:00:00
148,11/2/17,11/3/17,0:00,0:00,24:00:00
149,11/2/17,11/3/17,0:00,0:00,24:00:00
150,11/2/17,11/3/17,0:00,0:00,24:00:00
151,11/3/17,11/4/17,0:00,0:00,24:00:00
152,11/3/17,11/4/17,0:00,0:00,24:00:00
153,11/5/17,11/6/17,0:00,0:00,24:00:00
154,11/6/17,11/7/17,0:00,0:00,24:00:00
155,11/6/17,11/7/17,0:00,0:00,24:00:00
156,11/8/17,11/9/17,0:00,0:00,24:00:00
157,11/9/17,11/10/17,0:00,0:00,24:00:00
158,11/9/17,11/10/17,0:00,0:00,24:00:00
159,11/9/17,11/10/17,0:00,0:00,24:00:00
160,11/10/17,11/11/17,0:00,0:00,24:00:00
161,11/10/17,11/11/17,0:00,0:00,24:00:00
162,11/11/17,11/12/17,0:00,0:00,24:00:00
163,11/11/17,11/12/17,0:00,0:00,24:00:00
164,11/12/17,11/13/17,0:00,0:00,24:00:00
165,11/12/17,11/13/17,0:00,0:00,24:00:00
166,11/13/17,11/14/17,0:00,0:00,24:00:00
167,11/14/17,11/15/17,0:00,0:00,24:00:00
168,11/14/17,11/15/17,0:00,0:00,24:00:00
169,11/14/17,11/15/17,0:00,0:00,24:00:00
170,11/15/17,11/16/17,0:00,0:00,24:00:00
171,11/16/17,11/17/17,0:00,0:00,24:00:00
172,11/16/17,11/17/17,0:00,0:00,24:00:00
173,11/17/17,11/18/17,0:00,0:00,24:00:00
174,11/17/17,11/18/17,0:00,0:00,24:00:00
175,11/17/17,11/18/17,0:00,0:00,24:00:00
176,11/17/17,11/18/17,0:00,0:00,24:00:00
177,11/18/17,11/19/17,0:00,0:00,24:00:00
178,11/19/17,11/20/17,0:00,0:00,24:00:00
179,11/19/17,11/20/17,0:00,0:00,24:00:00
180,11/19/17,11/20/17,0:00,0:00,24:00:00
181,11/19/17,11/20/17,0:00,0:00,24:00:00
182,11/20/17,11/21/17,0:00,0:00,24:00:00
183,11/20/17,11/21/17,0:00,0:00,24:00:00
184,11/20/17,11/21/17,0:00,0:00,24:00:00
